,params,mean_train_score,mean_test_score,param_hidden_layer_sizes,param_learning_rate_init,param_max_iter,param_random_state
2,"{'learning_rate_init': 0.0001, 'max_iter': 10, 'random_state': 2, 'hidden_layer_sizes': 10}",0.1630049112512337,0.158,10,0.0001,10,2
251,"{'learning_rate_init': 0.0001, 'max_iter': 10, 'random_state': 1, 'hidden_layer_sizes': 20}",0.14700300300235428,0.142,20,0.0001,10,1
503,"{'learning_rate_init': 0.0001, 'max_iter': 10, 'random_state': 3, 'hidden_layer_sizes': 30}",0.22602342456326963,0.208,30,0.0001,10,3
753,"{'learning_rate_init': 0.0001, 'max_iter': 10, 'random_state': 3, 'hidden_layer_sizes': 40}",0.2041350606870452,0.192,40,0.0001,10,3
1000,"{'learning_rate_init': 0.0001, 'max_iter': 10, 'random_state': 0, 'hidden_layer_sizes': 50}",0.2161327677785109,0.194,50,0.0001,10,0
1253,"{'learning_rate_init': 0.0001, 'max_iter': 10, 'random_state': 3, 'hidden_layer_sizes': 60}",0.16309759284207573,0.154,60,0.0001,10,3
1500,"{'learning_rate_init': 0.0001, 'max_iter': 10, 'random_state': 0, 'hidden_layer_sizes': 70}",0.30699916936700694,0.274,70,0.0001,10,0
1754,"{'learning_rate_init': 0.0001, 'max_iter': 10, 'random_state': 4, 'hidden_layer_sizes': 80}",0.28413273883182777,0.256,80,0.0001,10,4
2000,"{'learning_rate_init': 0.0001, 'max_iter': 10, 'random_state': 0, 'hidden_layer_sizes': 90}",0.2881043839715591,0.256,90,0.0001,10,0
2251,"{'learning_rate_init': 0.0001, 'max_iter': 10, 'random_state': 1, 'hidden_layer_sizes': 100}",0.3000899579383813,0.234,100,0.0001,10,1
7,"{'learning_rate_init': 0.0001, 'max_iter': 20, 'random_state': 2, 'hidden_layer_sizes': 10}",0.21597443410224582,0.206,10,0.0001,20,2
256,"{'learning_rate_init': 0.0001, 'max_iter': 20, 'random_state': 1, 'hidden_layer_sizes': 20}",0.1739599796984382,0.168,20,0.0001,20,1
508,"{'learning_rate_init': 0.0001, 'max_iter': 20, 'random_state': 3, 'hidden_layer_sizes': 30}",0.2680141527678484,0.238,30,0.0001,20,3
758,"{'learning_rate_init': 0.0001, 'max_iter': 20, 'random_state': 3, 'hidden_layer_sizes': 40}",0.32711285674491736,0.272,40,0.0001,20,3
1006,"{'learning_rate_init': 0.0001, 'max_iter': 20, 'random_state': 1, 'hidden_layer_sizes': 50}",0.2960234080017345,0.246,50,0.0001,20,1
1259,"{'learning_rate_init': 0.0001, 'max_iter': 20, 'random_state': 4, 'hidden_layer_sizes': 60}",0.30717489265514997,0.254,60,0.0001,20,4
1505,"{'learning_rate_init': 0.0001, 'max_iter': 20, 'random_state': 0, 'hidden_layer_sizes': 70}",0.437017210999322,0.332,70,0.0001,20,0
1758,"{'learning_rate_init': 0.0001, 'max_iter': 20, 'random_state': 3, 'hidden_layer_sizes': 80}",0.4559773784551638,0.346,80,0.0001,20,3
2005,"{'learning_rate_init': 0.0001, 'max_iter': 20, 'random_state': 0, 'hidden_layer_sizes': 90}",0.4978936247558659,0.372,90,0.0001,20,0
2256,"{'learning_rate_init': 0.0001, 'max_iter': 20, 'random_state': 1, 'hidden_layer_sizes': 100}",0.5560890140028859,0.388,100,0.0001,20,1
12,"{'learning_rate_init': 0.0001, 'max_iter': 30, 'random_state': 2, 'hidden_layer_sizes': 10}",0.2259613458090657,0.21,10,0.0001,30,2
262,"{'learning_rate_init': 0.0001, 'max_iter': 30, 'random_state': 2, 'hidden_layer_sizes': 20}",0.22396490675513694,0.196,20,0.0001,30,2
513,"{'learning_rate_init': 0.0001, 'max_iter': 30, 'random_state': 3, 'hidden_layer_sizes': 30}",0.3609335456522136,0.29,30,0.0001,30,3
763,"{'learning_rate_init': 0.0001, 'max_iter': 30, 'random_state': 3, 'hidden_layer_sizes': 40}",0.4411524463025527,0.318,40,0.0001,30,3
1010,"{'learning_rate_init': 0.0001, 'max_iter': 30, 'random_state': 0, 'hidden_layer_sizes': 50}",0.454210991725245,0.326,50,0.0001,30,0
1264,"{'learning_rate_init': 0.0001, 'max_iter': 30, 'random_state': 4, 'hidden_layer_sizes': 60}",0.4380151605012572,0.338,60,0.0001,30,4
1510,"{'learning_rate_init': 0.0001, 'max_iter': 30, 'random_state': 0, 'hidden_layer_sizes': 70}",0.615091733082923,0.414,70,0.0001,30,0
1763,"{'learning_rate_init': 0.0001, 'max_iter': 30, 'random_state': 3, 'hidden_layer_sizes': 80}",0.6010115119590665,0.458,80,0.0001,30,3
2010,"{'learning_rate_init': 0.0001, 'max_iter': 30, 'random_state': 0, 'hidden_layer_sizes': 90}",0.6570377721451757,0.464,90,0.0001,30,0
2261,"{'learning_rate_init': 0.0001, 'max_iter': 30, 'random_state': 1, 'hidden_layer_sizes': 100}",0.721185539129993,0.492,100,0.0001,30,1
17,"{'learning_rate_init': 0.0001, 'max_iter': 40, 'random_state': 2, 'hidden_layer_sizes': 10}",0.24793356145767861,0.218,10,0.0001,40,2
267,"{'learning_rate_init': 0.0001, 'max_iter': 40, 'random_state': 2, 'hidden_layer_sizes': 20}",0.2780098942931218,0.222,20,0.0001,40,2
518,"{'learning_rate_init': 0.0001, 'max_iter': 40, 'random_state': 3, 'hidden_layer_sizes': 30}",0.4690356538528269,0.336,30,0.0001,40,3
768,"{'learning_rate_init': 0.0001, 'max_iter': 40, 'random_state': 3, 'hidden_layer_sizes': 40}",0.553187307037864,0.356,40,0.0001,40,3
1015,"{'learning_rate_init': 0.0001, 'max_iter': 40, 'random_state': 0, 'hidden_layer_sizes': 50}",0.5840053176209009,0.38,50,0.0001,40,0
1269,"{'learning_rate_init': 0.0001, 'max_iter': 40, 'random_state': 4, 'hidden_layer_sizes': 60}",0.5699634490520196,0.404,60,0.0001,40,4
1515,"{'learning_rate_init': 0.0001, 'max_iter': 40, 'random_state': 0, 'hidden_layer_sizes': 70}",0.7390851382796374,0.494,70,0.0001,40,0
1768,"{'learning_rate_init': 0.0001, 'max_iter': 40, 'random_state': 3, 'hidden_layer_sizes': 80}",0.7219779725822346,0.506,80,0.0001,40,3
2015,"{'learning_rate_init': 0.0001, 'max_iter': 40, 'random_state': 0, 'hidden_layer_sizes': 90}",0.7920461013372252,0.504,90,0.0001,40,0
2266,"{'learning_rate_init': 0.0001, 'max_iter': 40, 'random_state': 1, 'hidden_layer_sizes': 100}",0.8391760809092915,0.522,100,0.0001,40,1
22,"{'learning_rate_init': 0.0001, 'max_iter': 50, 'random_state': 2, 'hidden_layer_sizes': 10}",0.23694290371163085,0.208,10,0.0001,50,2
272,"{'learning_rate_init': 0.0001, 'max_iter': 50, 'random_state': 2, 'hidden_layer_sizes': 20}",0.3220025880638928,0.232,20,0.0001,50,2
522,"{'learning_rate_init': 0.0001, 'max_iter': 50, 'random_state': 2, 'hidden_layer_sizes': 30}",0.5080206704519855,0.374,30,0.0001,50,2
